index, genre, title1, title2, votes, rating
190	Action,Drama,Sci-Fi	Blade Runner	Blade Runner	791606	8.1
191	Drama	Paris, Texas	Paris, Texas	111254	8.1
192	Action,Sci-Fi	The Terminator	The Terminator	890042	8.1
193	Drama,War	Platoon	Platoon	424773	8.1
194	Adventure,Drama	Stand by Me	Stand by Me	419769	8.1
195	Comedy,Drama	Dead Poets Society	Dead Poets Society	513227	8.1
196	Biography,Crime,Drama	In the Name of the Father	In the Name of the Father	180573	8.1
197	Drama,Romance	Before Sunrise	Before Sunrise	322410	8.1
198	Crime,Drama	La haine	La haine	182719	8.1
199	Comedy,Drama,Fantasy	Underground	Underground	59758	8.1
200	Crime,Thriller	Fargo	Fargo	695367	8.1
201	Drama	Trainspotting	Trainspotting	703308	8.1
202	Comedy,Crime	The Big Lebowski	The Big Lebowski	830311	8.1
203	Action,Comedy,Crime	Lock, Stock and Two Smoking Barrels	Lock, Stock and Two Smoking Barrels	597165	8.1
204	Action,Adventure,Animation	The Iron Giant	The Iron Giant	211313	8.1
205	Drama,Musical,Sport	Lagaan: Once Upon a Time in India	Lagaan: Once Upon a Time in India	117317	8.1
206	Adventure,Animation,Comedy	Monsters, Inc.	Monsters, Inc.	937051	8.1
207	Action,Comedy,Crime	Hera Pheri	Hera Pheri	69714	8.1
208	Biography,Crime,Drama	Catch Me If You Can	Catch Me If You Can	1028526	8.1
209	Comedy,Drama,Romance	Dil Chahta Hai	Dil Chahta Hai	74006	8.1
210	Action,Adventure,Fantasy	Pirates of the Caribbean: The Curse of the Black Pearl	Pirates of the Caribbean: The Curse of the Black Pearl	1159219	8.1
211	Comedy,Drama	Munna Bhai M.B.B.S.	Munna Bhai M.B.B.S.	84888	8.1
212	Drama,Romance	Before Sunset	Before Sunset	275388	8.1
213	Adventure,Animation,Comedy	Ratatouille	Ratatouille	772685	8.1
214	Biography,Drama,History	Hotel Rwanda	Hotel Rwanda	362912	8.1
215	Drama,Sport	Million Dollar Baby	Million Dollar Baby	702005	8.1
216	Comedy,Crime,Drama	Rang De Basanti	Rang De Basanti	120692	8.1
217	Adventure,Biography,Drama	Into the Wild	Into the Wild	637251	8.1
218	Action,Adventure,Animation	How to Train Your Dragon	How to Train Your Dragon	765504	8.1
219	Biography,Drama,Family	Hachi: A Dog's Tale	Hachi: A Dog's Tale	296566	8.1
220	Adventure,Family,Fantasy	Harry Potter and the Deathly Hallows: Part 2	Harry Potter and the Deathly Hallows: Part 2	905242	8.1
221	Drama	Gran Torino	Gran Torino	792076	8.1
222	Action,Crime,Drama	A Wednesday	A Wednesday	80408	8.1
223	Documentary	My Octopus Teacher	My Octopus Teacher	58954	8.1
224	Action,Drama,Sport	Warrior	Warrior	483351	8.1
225	Action,Adventure,Sci-Fi	Mad Max: Fury Road	Mad Max: Fury Road	1035110	8.1
226	Crime,Drama,Mystery	Prisoners	Prisoners	752761	8.1
227	Drama	The Help	The Help	474502	8.1
228	Mystery,Thriller	Kahaani	Kahaani	64188	8.1
229	Biography,Crime,Drama	Spotlight	Spotlight	484245	8.1
230	Action,Biography,Drama	Ford v Ferrari	Ford v Ferrari	424007	8.1
231	Action,Biography,Drama	Rush	Rush	493243	8.1
232	Biography,Drama,History	12 Years a Slave	12 Years a Slave	718284	8.1
233	Comedy,Drama,Romance	Barfi!	Barfi!	84308	8.1
234	Adventure,Animation,Comedy	Inside Out	Inside Out	741676	8.1
235	Biography,Drama,History	Hacksaw Ridge	Hacksaw Ridge	554204	8.1
236	Drama,Mystery,Thriller	Gone Girl	Gone Girl	1013462	8.1
237	Adventure,Comedy,Crime	The Grand Budapest Hotel	The Grand Budapest Hotel	844285	8.1
238	Comedy,Drama,Fantasy	OMG: Oh My God!	OMG: Oh My God!	60949	8.1
239	Comedy,Drama,Sci-Fi	PK	PK	193879	8.1
240	Documentary	Blackfish	Blackfish	70058	8.1
241	Drama,Thriller	Room	Room	433605	8.1
242	Action,Drama,Sci-Fi	Logan	Logan	792423	8.1
243	Adventure,Comedy,Drama	Queen	Queen	67177	8.1
244	Action,Adventure,Comedy	Bajrangi Bhaijaan	Bajrangi Bhaijaan	92435	8.1
245	Comedy,Crime,Drama	Three Billboards Outside Ebbing, Missouri	Three Billboards Outside Ebbing, Missouri	528758	8.1
246	Adventure,Documentary,Sport	Free Solo	Free Solo	72685	8.1
247	Crime,Film-Noir,Mystery	The Maltese Falcon	The Maltese Falcon	162818	8.0
248	Drama,Thriller,Western	High Noon	High Noon	107314	8.0
249	Comedy,Romance	Roman Holiday	Roman Holiday	142931	8.0
250	Comedy,Drama,War	Stalag 17	Stalag 17	57242	8.0
251	Drama	La strada	La strada	65009	8.0
252	Crime,Drama,Film-Noir	The Night of the Hunter	The Night of the Hunter	92815	8.0
253	Crime,Drama,Film-Noir	Touch of Evil	Touch of Evil	107197	8.0
254	Drama,Mystery	Anatomy of a Murder	Anatomy of a Murder	68669	8.0
255	Drama,Western	Rio Bravo	Rio Bravo	65509	8.0
256	Drama,Sport	The Hustler	The Hustler	84405	8.0
257	Drama,Horror,Thriller	What Ever Happened to Baby Jane?	What Ever Happened to Baby Jane?	59095	8.0
258	Biography,Drama	8½	8½	121564	8.0
259	Drama	Who's Afraid of Virginia Woolf?	Who's Afraid of Virginia Woolf?	77749	8.0
260	Comedy,Drama,Romance	The Graduate	The Graduate	281090	8.0
261	Crime,Drama,Thriller	Le Samouraï	Le Samouraï	53911	8.0
262	Adventure,Sci-Fi	Planet of the Apes	Planet of the Apes	186039	8.0
263	Drama,Horror	Rosemary's Baby	Rosemary's Baby	224492	8.0
264	Biography,Crime,Drama	Butch Cassidy and the Sundance Kid	Butch Cassidy and the Sundance Kid	221421	8.0
265	Drama,Romance	The Last Picture Show	The Last Picture Show	50251	8.0
266	Biography,Crime,Drama	Papillon	Papillon	134588	8.0
267	Comedy	Young Frankenstein	Young Frankenstein	163445	8.0
268	Biography,Crime,Drama	Dog Day Afternoon	Dog Day Afternoon	265059	8.0
269	Comedy,Romance	Annie Hall	Annie Hall	270967	8.0
270	Comedy,Drama	Being There	Being There	75102	8.0
271	Comedy	Life of Brian	Life of Brian	410426	8.0
272	Biography,Drama,History	Gandhi	Gandhi	236580	8.0
273	Drama,Fantasy,Music	Pink Floyd: The Wall	Pink Floyd: The Wall	83280	8.0
274	Adventure,Comedy,Family	The Princess Bride	The Princess Bride	437458	8.0
275	Action,Animation,Drama	Akira	Akira	194851	8.0
276	Drama	Rain Man	Rain Man	528512	8.0
277	Comedy,Drama	Do the Right Thing	Do the Right Thing	107164	8.0
278	Adventure,Drama,Western	Dances with Wolves	Dances with Wolves	278048	8.0
279	Animation,Family,Fantasy	Beauty and the Beast	Beauty and the Beast	466308	8.0
280	Drama,History,Thriller	JFK	JFK	162716	8.0
281	Adventure,Animation,Comedy	Aladdin	Aladdin	440468	8.0
282	Drama	Scent of a Woman	Scent of a Woman	312016	8.0
283	Comedy,Drama,Fantasy	Groundhog Day	Groundhog Day	654090	8.0
284	Action,Comedy,Romance	Andaz Apna Apna	Andaz Apna Apna	54306	8.0
285	Drama,Romance	Dilwale Dulhania Le Jayenge	Dilwale Dulhania Le Jayenge	73257	8.0
286	Mystery,Sci-Fi,Thriller	12 Monkeys	Twelve Monkeys	631105	8.0
287	Drama	Sling Blade	Sling Blade	96367	8.0
288	Biography,Drama	The Straight Story	The Straight Story	93503	8.0
289	Drama	Magnolia	Magnolia	320354	8.0
290	Drama,Mystery,Sci-Fi	Donnie Darko	Donnie Darko	822412	8.0
291	Crime,Drama	Dogville	Dogville	153622	8.0
292	Crime,Documentary,Drama	Bowling for Columbine	Bowling for Columbine	146681	8.0
293	Action,Adventure,Animation	The Incredibles	The Incredibles	766861	8.0
294	Adventure,Drama,Fantasy	Big Fish	Big Fish	449222	8.0
295	Biography,Drama,Romance	Cinderella Man	Cinderella Man	192876	8.0
296	Action,Crime,Thriller	Kill Bill: Vol. 2	Kill Bill: Vol. 2	776757	8.0
297	Action,Adventure,Thriller	Casino Royale	Casino Royale	673166	8.0
298	Adventure,Comedy,Sci-Fi	G.O.R.A.	G.O.R.A.	64758	8.0
299	Documentary,Drama	Sicko	Sicko	76203	8.0
300	Crime,Thriller	Sin City	Sin City	780645	8.0
301	Action,Mystery,Thriller	The Bourne Ultimatum	The Bourne Ultimatum	645587	8.0
302	Adventure,Drama,Thriller	Blood Diamond	Blood Diamond	566139	8.0
303	Biography,Drama	The Pursuit of Happyness	The Pursuit of Happyness	533660	8.0
304	Animation,Biography,Drama	Persepolis	Persepolis	97402	8.0
305	Action,Sci-Fi	The Avengers	The Avengers	1421026	8.0
306	Drama,Thriller	Black Swan	Black Swan	791930	8.0
307	Crime,Drama,Romance	Slumdog Millionaire	Slumdog Millionaire	860427	8.0
308	Comedy,Drama,Music	CODA	CODA	147895	8.0
309	Action,Adventure,Drama	Dune: Part One	Dune: Part One	688901	8.0
310	Animation,Biography,Documentary	Waltz with Bashir	Vals Im Bashir	59162	8.0
311	Action,Biography,Drama	Ip Man	Ip Man	229045	8.0
312	Action,Adventure,Fantasy	Karthikeya 2	Karthikeya 2	63433	8.0
313	Action,Comedy	Deadpool	Deadpool	1073671	8.0
314	Biography,Drama,History	The King's Speech	The King's Speech	693312	8.0
315	Action,Adventure,Drama	The Revenant	The Revenant	831466	8.0
316	Drama,Romance,Sci-Fi	Her	Her	639397	8.0
317	Action,Drama,Mystery	Blade Runner 2049	Blade Runner 2049	609186	8.0
318	Adventure,Animation,Drama	Song of the Sea	Song of the Sea	60880	8.0
319	Action,Adventure,Comedy	Guardians of the Galaxy	Guardians of the Galaxy	1226653	8.0
320	Biography,Drama,Thriller	The Imitation Game	The Imitation Game	792166	8.0
321	Crime,Drama,Thriller	Special 26	Special Chabbis	57630	8.0
322	Action,Drama	Baahubali: The Beginning	Bãhubali: The Beginning	130792	8.0
323	Adventure,Animation,Comedy	Zootopia	Zootopia	519546	8.0
324	Adventure,Animation,Comedy	Soul	Soul	348950	8.0
325	Action,Crime,Drama	Haider	Haider	56227	8.0
326	Drama	Mommy	Mommy	59380	8.0
327	Adventure,Drama,Sci-Fi	The Martian	The Martian	883205	8.0
328	Biography,Drama	Lion	Lion	243304	8.0
329	Comedy,Drama,Music	La La Land	La La Land	619652	8.0
330	Biography,Documentary,History	Citizenfour	Citizenfour	56870	8.0
331	Biography,Drama,Sport	M.S. Dhoni: The Untold Story	M.S. Dhoni: The Untold Story	63651	8.0
332	Adventure,Horror,Sci-Fi	King Kong	King Kong	88164	7.9
333	Action,Adventure,Romance	The Adventures of Robin Hood	The Adventures of Robin Hood	53001	7.9
334	Comedy,Romance	The Philadelphia Story	The Philadelphia Story	71692	7.9
335	Comedy,Crime,Thriller	Arsenic and Old Lace	Arsenic and Old Lace	72927	7.9
336	Crime,Film-Noir,Mystery	The Big Sleep	The Big Sleep	88214	7.9
337	Drama,Film-Noir,Romance	Notorious	Notorious	104020	7.9
338	Comedy,Drama,Family	Miracle on 34th Street	Miracle on 34th Street	51306	7.9
339	Crime,Drama,Mystery	Rope	Rope	148430	7.9
340	Comedy,Drama,Fantasy	Harvey	Harvey	56932	7.9
341	Crime,Drama,Film-Noir	Strangers on a Train	Strangers on a Train	137294	7.9
342	Drama	A Streetcar Named Desire	A Streetcar Named Desire	111543	7.9
343	Crime,Drama,Film-Noir	The Killing	The Killing	93138	7.9
344	Adventure,Drama,Western	The Searchers	The Searchers	93086	7.9
345	Adventure,Drama,Family	The Ten Commandments	The Ten Commandments	74598	7.9
346	Drama	Cat on a Hot Tin Roof	Cat on a Hot Tin Roof	51664	7.9
347	Adventure,Biography,Drama	Spartacus	Spartacus	138937	7.9
348	Drama,Thriller	The Manchurian Candidate	The Manchurian Candidate	77469	7.9
349	Comedy,Mystery,Romance	Charade	Charade	81619	7.9
350	Drama,Romance,War	Doctor Zhivago	Doctor Zhivago	79683	7.9
351	Drama,Mystery,Thriller	In the Heat of the Night	In the Heat of the Night	79928	7.9
352	Action,Adventure,Drama	The Wild Bunch	The Wild Bunch	87736	7.9
353	Biography,Drama,War	Patton	Patton	105352	7.9
354	Comedy,Drama,Romance	Harold and Maude	Harold and Maude	79747	7.9
355	Drama,History,Thriller	All the President's Men	All the President's Men	120962	7.9
356	Action,Adventure,Comedy	The Blues Brothers	The Blues Brothers	206634	7.9
357	Adventure,Family,Sci-Fi	E.T. the Extra-Terrestrial	E.T. the Extra-Terrestrial	422433	7.9
358	Comedy,Family	A Christmas Story	A Christmas Story	161118	7.9
359	Comedy,Music	This Is Spinal Tap	This Is Spinal Tap	143249	7.9
360	Drama,Sci-Fi	Brazil	Brazil	205759	7.9
361	Drama,Fantasy,Romance	Edward Scissorhands	Edward Scissorhands	504897	7.9
362	Crime,Drama,Thriller	Carlito's Way	Carlito's Way	225209	7.9
363	Animation,Family,Fantasy	The Nightmare Before Christmas	The Nightmare Before Christmas	352940	7.9
364	Crime,Drama,Romance	True Romance	True Romance	234189	7.9
365	Drama	Boogie Nights	Boogie Nights	273576	7.9
366	Drama,Romance	Titanic	Titanic	1227992	7.9
367	Adventure,Animation,Comedy	Toy Story 2	Toy Story 2	598391	7.9
368	Adventure,Animation,Comedy	Shrek	Shrek	703226	7.9
369	Drama,Mystery,Thriller	Mulholland Drive	Mulholland Dr.	368537	7.9
370	Crime,Drama,Musical	Dancer in the Dark	Dancer in the Dark	113341	7.9
371	Adventure,Comedy,Drama	Almost Famous	Almost Famous	284711	7.9
372	Action,Drama,Sci-Fi	Children of Men	Children of Men	513205	7.9
373	Action,Mystery,Thriller	The Bourne Identity	The Bourne Identity	560589	7.9
